Member No.;Location;Stress;Design;Loading;Forces [kN];;;Moments [kNm];;;Design Check;Design Check;
96;0.000;;DS2;CO20;-21.35;0.00;11.59;0.00;19.82;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
96;;;;;;;;;;;;;
97;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
97;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
97;4.000;9;DS1;CO7;0.21;0.43;-3.81;0.10;5.08;0.57;1.129;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
97;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
97;2.500;;DS2;CO26;0.12;0.00;0.00;0.00;5.49;0.61;0.617;SE1100.00;Serviceability | Deflections in v-direction
97;2.500;;DS2;CO26;0.12;0.00;0.00;0.00;5.49;0.61;1.726;SE1200.00;Serviceability | Deflections in u-direction
97;0.500;;DS1;CO1;0.01;-0.19;1.73;-0.01;0.97;0.11;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
97;;;;;;;;;;;;;
98;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
98;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
98;0.000;;DS1;CO5;-65.78;0.00;20.50;0.00;110.30;0.00;0.024;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
98;0.000;;DS1;CO5;-65.78;0.00;20.50;0.00;110.30;0.00;0.025;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
98;0.000;11;DS1;CO9;-60.09;0.10;19.47;0.05;115.09;0.84;0.032;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
98;0.000;;DS1;CO1;-28.16;0.00;8.85;0.00;50.06;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
98;1.650;;DS1;CO7;-65.42;0.00;15.70;0.00;147.14;0.00;0.285;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
98;1.650;8;DS1;CO8;-59.92;0.13;17.16;0.03;145.77;0.47;0.353;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
98;1.650;;DS1;CO7;-65.42;0.00;15.70;0.00;147.14;0.00;0.285;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
98;0.000;;DS1;CO1;-28.16;0.00;8.85;0.00;50.06;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
98;0.000;;DS1;CO1;-28.16;0.00;8.85;0.00;50.06;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
98;0.000;;DS1;CO1;-28.16;0.00;8.85;0.00;50.06;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
98;0.000;;DS1;RC1;-60.98;-0.10;19.22;-0.05;115.45;-0.85;0.369;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
98;0.000;;DS2;CO20;-20.86;0.00;6.54;0.00;37.05;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
98;0.825;;DS2;CO26;-45.70;0.00;11.74;0.00;93.13;0.00;0.057;SE1100.00;Serviceability | Deflections in z-direction
98;0.990;;DS2;CO35;-29.36;-0.20;9.29;-0.06;68.99;-0.23;0.003;SE1200.00;Serviceability | Deflections in y-direction
98;;;;;;;;;;;;;
99;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
99;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
99;4.000;9;DS1;CO7;0.24;0.42;-3.81;0.10;5.08;0.56;1.128;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
99;0.000;;DS2;CO20;0.00;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
99;2.500;;DS2;CO26;0.13;0.00;0.00;0.00;5.50;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
99;2.500;;DS2;CO26;0.13;0.00;0.00;0.00;5.50;0.60;1.725;SE1200.00;Serviceability | Deflections in u-direction
99;0.500;;DS1;CO1;0.01;-0.19;1.73;-0.01;0.97;0.11;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
99;;;;;;;;;;;;;
100;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
100;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
100;0.000;;DS1;CO5;-64.40;0.01;5.68;0.00;141.90;0.00;0.024;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
100;0.000;1;DS1;CO11;-22.54;-0.42;2.98;-0.10;64.92;0.00;0.013;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
100;0.000;;DS1;CO14;-21.05;0.40;3.21;0.10;65.40;0.01;0.004;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
100;0.000;;DS1;CO15;-48.04;0.01;5.88;0.00;100.18;-0.01;0.007;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
100;0.165;4;DS1;CO11;-22.52;-0.42;2.78;-0.10;65.39;0.09;0.014;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
100;0.000;11;DS1;CO9;-58.70;0.24;4.67;0.05;145.00;0.47;0.008;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
100;0.000;;DS1;CO1;-27.54;0.00;2.48;0.00;62.82;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
100;1.444;;DS1;CO8;-58.52;0.24;2.62;0.02;150.44;-0.07;0.292;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
100;0.330;8;DS1;CO11;-22.50;-0.42;2.58;-0.09;65.83;0.18;0.158;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
100;1.650;1;DS1;CO9;-58.51;0.24;2.52;0.01;150.93;-0.16;0.358;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
100;1.444;;DS1;CO8;-58.52;0.24;2.62;0.02;150.44;-0.07;0.292;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
100;0.000;;DS1;CO1;-27.54;0.00;2.48;0.00;62.82;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
100;0.000;;DS1;CO1;-27.54;0.00;2.48;0.00;62.82;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
100;0.000;;DS1;CO1;-27.54;0.00;2.48;0.00;62.82;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
100;0.000;;DS1;RC1;-59.59;-0.24;4.41;-0.05;144.94;-0.48;0.374;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
100;0.000;;DS2;CO20;-20.39;0.00;1.83;0.00;46.49;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
100;0.825;;DS2;CO26;-44.70;0.01;1.37;0.00;103.63;-0.01;0.063;SE1100.00;Serviceability | Deflections in z-direction
100;0.825;;DS2;CO30;-16.99;-0.29;1.42;-0.06;49.37;0.40;0.009;SE1200.00;Serviceability | Deflections in y-direction
100;0.000;;DS1;CO11;-22.54;-0.42;2.98;-0.10;64.92;0.00;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
100;;;;;;;;;;;;;
101;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
101;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
101;4.000;9;DS1;CO8;-0.11;0.43;-3.79;0.10;5.06;0.58;1.131;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
101;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
101;2.500;;DS2;CO26;0.28;0.00;0.00;0.00;5.49;0.61;0.617;SE1100.00;Serviceability | Deflections in v-direction
101;2.500;;DS2;CO27;-0.10;0.00;0.00;0.00;5.47;0.61;1.728;SE1200.00;Serviceability | Deflections in u-direction
101;0.000;;DS1;CO13;-0.24;-0.24;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
101;;;;;;;;;;;;;
102;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
102;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
102;1.000;9;DS1;CO8;-0.19;-0.43;3.79;-0.10;5.06;0.58;1.134;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
102;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
102;2.500;;DS2;CO24;0.28;0.00;0.00;0.00;5.49;0.61;0.617;SE1100.00;Serviceability | Deflections in v-direction
102;2.500;;DS2;CO27;-0.15;0.00;0.00;0.00;5.47;0.61;1.732;SE1200.00;Serviceability | Deflections in u-direction
102;0.000;;DS1;CO13;-0.36;-0.24;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
102;;;;;;;;;;;;;
103;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
103;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
103;2.500;7;DS1;CO5;0.00;0.00;0.00;0.00;4.09;0.45;0.424;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
103;0.000;;DS2;CO20;0.00;-0.10;0.88;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
103;2.500;;DS2;CO27;0.00;0.00;0.00;0.00;2.84;0.31;0.319;SE1100.00;Serviceability | Deflections in v-direction
103;2.500;;DS2;CO27;0.00;0.00;0.00;0.00;2.84;0.31;0.892;SE1200.00;Serviceability | Deflections in u-direction
103;0.500;;DS1;CO1;0.00;-0.10;0.96;0.00;0.54;0.06;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
103;;;;;;;;;;;;;
104;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
104;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
104;1.000;9;DS1;CO9;-0.07;-0.44;3.79;-0.10;5.06;0.58;1.128;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
104;0.000;;DS2;CO20;0.01;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
104;2.500;;DS2;CO24;0.15;0.00;0.00;0.00;5.49;0.62;0.617;SE1100.00;Serviceability | Deflections in v-direction
104;2.500;;DS2;CO28;-0.07;0.00;0.00;0.00;5.47;0.62;1.725;SE1200.00;Serviceability | Deflections in u-direction
104;0.500;;DS1;CO1;0.01;-0.19;1.73;-0.01;0.97;0.11;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
104;;;;;;;;;;;;;
105;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
105;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
105;1.000;11;DS1;CO9;-0.60;-0.45;3.80;-0.11;5.06;0.59;1.156;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
105;0.000;;DS2;CO20;0.01;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
105;2.500;;DS2;CO24;0.85;0.00;0.00;0.00;5.47;0.59;0.615;SE1100.00;Serviceability | Deflections in v-direction
105;2.500;;DS2;CO28;-0.42;0.00;0.00;0.00;5.47;0.63;1.755;SE1200.00;Serviceability | Deflections in u-direction
105;0.000;;DS1;CO8;-0.55;-0.74;6.33;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
105;;;;;;;;;;;;;
106;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
106;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
106;1.000;9;DS1;CO5;0.22;-0.43;3.81;-0.10;5.08;0.57;1.128;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
106;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
106;2.500;;DS2;CO24;0.12;0.00;0.00;0.00;5.49;0.61;0.617;SE1100.00;Serviceability | Deflections in v-direction
106;2.500;;DS2;CO24;0.12;0.00;0.00;0.00;5.49;0.61;1.726;SE1200.00;Serviceability | Deflections in u-direction
106;0.500;;DS1;CO1;0.01;-0.19;1.73;-0.01;0.97;0.11;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
106;;;;;;;;;;;;;
107;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
107;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
107;1.000;9;DS1;CO5;0.23;-0.42;3.81;-0.10;5.08;0.56;1.129;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
107;0.000;;DS2;CO20;0.00;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
107;2.500;;DS2;CO24;0.13;0.00;0.00;0.00;5.50;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
107;2.500;;DS2;CO24;0.13;0.00;0.00;0.00;5.50;0.60;1.725;SE1200.00;Serviceability | Deflections in u-direction
107;0.500;;DS1;CO1;0.01;-0.19;1.73;-0.01;0.97;0.11;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
107;;;;;;;;;;;;;
108;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
108;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
108;2.500;7;DS1;CO7;0.00;0.00;0.00;0.00;4.09;0.45;0.424;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
108;0.000;;DS2;CO20;0.00;-0.10;0.88;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
108;2.500;;DS2;CO24;0.00;0.00;0.00;0.00;2.84;0.31;0.319;SE1100.00;Serviceability | Deflections in v-direction
108;2.500;;DS2;CO25;0.00;0.00;0.00;0.00;2.84;0.31;0.892;SE1200.00;Serviceability | Deflections in u-direction
108;0.500;;DS1;CO1;0.00;-0.10;0.96;0.00;0.54;0.06;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
108;;;;;;;;;;;;;
109;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
109;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
109;1.650;;DS1;CO7;-65.75;-0.01;-20.28;0.00;110.02;0.02;0.024;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
109;1.650;;DS1;CO7;-65.75;-0.01;-20.28;0.00;110.02;0.02;0.025;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
109;1.650;11;DS1;CO8;-60.07;-0.10;-19.25;-0.05;114.82;0.82;0.032;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
109;0.000;;DS1;CO1;-27.97;0.00;-6.83;0.00;62.58;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
109;0.000;;DS1;CO5;-65.40;0.00;-15.48;0.00;146.51;0.00;0.284;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
109;0.000;8;DS1;CO9;-59.90;-0.14;-16.95;-0.03;145.14;0.46;0.352;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
109;0.000;;DS1;CO5;-65.40;0.00;-15.48;0.00;146.51;0.00;0.284;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
109;0.000;;DS1;CO1;-27.97;0.00;-6.83;0.00;62.58;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
109;0.000;;DS1;CO1;-27.97;0.00;-6.83;0.00;62.58;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
109;0.000;;DS1;CO1;-27.97;0.00;-6.83;0.00;62.58;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
109;1.485;;DS1;RC1;-60.96;0.11;-18.95;0.05;117.75;-0.80;0.368;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
109;0.000;;DS2;CO20;-20.71;0.00;-5.06;0.00;46.31;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
109;0.825;;DS2;CO24;-45.69;0.00;-11.59;0.00;92.82;-0.01;0.057;SE1100.00;Serviceability | Deflections in z-direction
109;0.660;;DS2;CO35;-29.36;0.20;-9.28;0.05;68.53;-0.22;0.003;SE1200.00;Serviceability | Deflections in y-direction
109;;;;;;;;;;;;;
110;Beam | 1 - IPE 500 | L : 1.575 m;;;;;;;;;;;;
110;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
110;1.575;;DS1;CO7;-67.09;0.00;-34.96;0.00;56.36;0.02;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
110;1.575;;DS1;CO7;-67.09;0.00;-34.96;0.00;56.36;0.02;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
110;1.575;11;DS1;CO8;-61.41;0.08;-33.92;-0.03;62.79;0.80;0.056;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
110;0.000;;DS1;CO1;-28.59;0.00;-13.20;0.00;49.57;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
110;0.000;;DS1;CO5;-66.76;0.01;-30.37;0.00;119.00;0.00;0.231;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
110;0.000;8;DS1;CO9;-61.26;0.03;-31.75;-0.03;115.24;0.83;0.293;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
110;0.000;;DS1;CO5;-66.76;0.01;-30.37;0.00;119.00;0.00;0.231;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
110;0.000;;DS1;CO1;-28.59;0.00;-13.20;0.00;49.57;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
110;0.000;;DS1;CO1;-28.59;0.00;-13.20;0.00;49.57;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
110;0.000;;DS1;CO1;-28.59;0.00;-13.20;0.00;49.57;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
110;0.630;;DS1;RC1;-61.31;0.05;-32.56;-0.03;94.98;0.84;0.309;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
110;0.000;;DS2;CO20;-21.17;0.00;-9.77;0.00;36.69;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
110;0.787;;DS2;CO24;-46.66;0.00;-21.91;0.00;65.85;-0.01;0.039;SE1100.00;Serviceability | Deflections in z-direction
110;0.945;;DS2;CO32;-16.92;-0.12;-11.05;-0.04;27.75;0.44;0.002;SE1200.00;Serviceability | Deflections in y-direction
110;;;;;;;;;;;;;
111;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
111;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
111;1.650;;DS1;CO7;-68.51;0.01;-50.20;0.00;-27.66;0.00;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
111;0.330;;DS1;CO7;-68.36;0.01;-48.59;0.00;37.56;0.02;0.060;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
111;1.650;11;DS1;CO18;-41.57;0.35;-36.01;0.13;-14.34;0.40;0.070;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
111;1.650;11;DS1;CO7;-68.51;0.01;-50.20;0.00;-27.66;0.00;0.082;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
111;0.000;;DS1;CO1;-29.24;0.00;-20.02;0.00;26.02;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
111;0.000;;DS1;CO5;-68.14;-0.01;-45.67;0.00;66.92;-0.02;0.130;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
111;0.000;8;DS1;CO19;-41.38;0.43;-33.87;0.15;44.05;1.11;0.136;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
111;0.000;8;DS1;CO9;-62.63;0.37;-46.97;0.09;60.90;0.81;0.174;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
111;0.000;;DS1;CO5;-68.14;-0.01;-45.67;0.00;66.92;-0.02;0.130;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
111;0.000;;DS1;CO1;-29.24;0.00;-20.02;0.00;26.02;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
111;0.000;;DS1;CO1;-29.24;0.00;-20.02;0.00;26.02;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
111;0.000;;DS1;CO1;-29.24;0.00;-20.02;0.00;26.02;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
111;1.650;;DS1;RC1;-68.51;0.01;-50.20;0.00;-27.66;0.00;0.197;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
111;0.000;;DS2;CO20;-21.66;0.00;-14.81;0.00;19.27;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
111;0.660;;DS2;CO24;-47.64;0.00;-32.47;0.00;25.22;-0.01;0.013;SE1100.00;Serviceability | Deflections in z-direction
111;0.825;;DS2;CO35;-30.83;-0.17;-24.76;-0.09;10.64;-0.45;0.005;SE1200.00;Serviceability | Deflections in y-direction
111;0.000;;DS1;CO11;-24.24;-0.24;-20.51;-0.14;26.48;-0.87;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
111;;;;;;;;;;;;;
112;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
112;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
112;1.650;;DS1;CO7;-69.97;0.02;-64.79;0.00;-133.19;-0.04;0.026;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
112;0.825;1;DS1;CO18;-42.49;0.46;-45.51;0.15;-51.59;0.05;0.020;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
112;1.238;;DS1;CO18;-42.55;0.42;-46.00;0.14;-70.46;-0.07;0.057;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
112;1.650;;DS1;CO7;-69.97;0.02;-64.79;0.00;-133.19;-0.04;0.080;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
112;0.330;11;DS1;CO8;-64.05;0.40;-62.24;0.09;-40.09;0.09;0.110;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
112;1.650;11;DS1;CO8;-64.27;0.29;-63.78;0.06;-123.29;-0.20;0.105;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
112;0.000;;DS1;CO1;-29.86;0.00;-26.36;0.00;-8.73;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
112;1.650;;DS1;CO7;-69.97;0.02;-64.79;0.00;-133.19;-0.04;0.258;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
112;1.650;14;DS1;CO18;-42.61;0.38;-46.49;0.12;-89.54;-0.15;0.217;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
112;1.650;14;DS1;CO8;-64.27;0.29;-63.78;0.06;-123.29;-0.20;0.300;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
112;1.650;;DS1;CO7;-69.97;0.02;-64.79;0.00;-133.19;-0.04;0.258;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
112;0.000;;DS1;CO1;-29.86;0.00;-26.36;0.00;-8.73;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
112;0.000;;DS1;CO1;-29.86;0.00;-26.36;0.00;-8.73;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
